fitted cross section for UV absorber, from Haus et al. (2016)
to be used with Haus' number density profile for the UV absorber

 28.966 Molecular Weight of Principal Isotope
                      
     Wavelength Cross-Section  
     (microns)    (cm**2)      
     0.286000  0.000000000  ;fudged
     0.287000  3.37339e-11
     0.289000  4.20732e-11
     0.290000  4.62428e-11
     0.293000  5.87518e-11
     0.298000  7.96000e-11
     0.300000  2.95266e-10
     0.300000  2.95266e-10
     0.302000  8.62887e-10
     0.303000  1.14671e-09
     0.304000  1.43052e-09
     0.305000  1.71433e-09
     0.306000  1.99815e-09
     0.308000  2.73138e-09
     0.310000  5.06363e-09
     0.309000  3.89749e-09
     0.311000  7.77139e-09
     0.313000  1.57387e-08
     0.316000  2.03418e-08
     0.321000  2.39599e-08
     0.330000  2.61305e-08
     0.335000  2.58652e-08
     0.354000  2.43026e-08
     0.374000  2.16345e-08
     0.396000  1.23372e-08
     0.410000  8.65354e-09
     0.423000  5.84665e-09
     0.430000  4.67819e-09
     0.449000  3.66308e-09
     0.467000  3.05987e-09
     0.483000  2.61596e-09
     0.492000  2.41990e-09
     0.513000  2.00884e-09
     0.548000  1.62368e-09
     0.588000  1.41001e-09
     0.610000  1.26463e-09
     0.639000  1.09035e-09
     0.668000  9.71734e-10
     0.691000  8.74685e-10
     0.717000  7.61984e-10
     0.739000  6.79337e-10
     0.765000  5.84868e-10
     0.781000  5.20075e-10
     0.794000  4.41264e-10
     0.801000  4.03104e-10
     0.816000  3.43493e-10
     0.831000  2.83882e-10
     0.841000  2.44141e-10
     0.850000  2.08374e-10
     0.861000  1.64659e-10
     0.874000  1.12996e-10
     0.882000  8.12034e-11
     0.886000  6.53073e-11
     0.889000  5.33850e-11
     0.893000  3.74886e-11
     0.900000  0.000000000  ;fudged
