Net thermal fluxes extracted from Fig. 8 in Tomasko et al. (2008): 10.1016/j.pss.2007.10.012
Altitude(km)        NetThermalFlux(W/m^2)
0.5524861878453109  0.40371229698375855
8.83977900552486    0.4524361948955917
14.917127071823217  0.5638051044083525
19.889502762430936  0.7030162412993035
28.729281767955797  0.8561484918793503
38.121546961325976  1.0162412993039442
44.1988950276243    1.1415313225058004
54.69613259668509   1.3016241299303943
61.87845303867404   1.3990719257540603
71.8232044198895    1.4547563805104406
85.0828729281768    1.5591647331786542
97.23756906077348   1.6774941995359631
110.4972375690608   1.7819025522041763
123.20441988950277  1.8863109048723896
133.70165745856355  1.9837587006960555
144.75138121546962  2.088167053364269
155.24861878453038  2.17169373549884
168.50828729281767  2.2900232018561484
181.76795580110496  2.408352668213457
196.6850828729282   2.5127610208816704
213.2596685082873   2.6032482598607887
227.62430939226516  2.6728538283062644
249.17127071823205  2.7703016241299303
271.8232044198895   2.8329466357308584
291.16022099447514  2.8886310904872388
307.7348066298342   2.9303944315545243
327.62430939226516  2.9582366589327145
346.4088397790055   2.9860788863109047
362.43093922651934  2.9860788863109047
380.6629834254143   3
398.34254143646405  3.0139211136890953
