Extracted from Fig. 3 in Lavvas et al. (2008). The total N2 destruction.
Altitude(km)          N2DissociationRate(molecules/cm^3/s)
49.06542056074761     0.001000000000000001
49.58430806593651     0.004650470423738744
58.837963555669376    0.8018803828262767  
65.64751341348455     2.6132776499459873  
73.31347012565811     5.382805869632543   
83.33333333333337     10                  
94.97096169737324     13.01878219072103   
105.08587345740085    13.787228120600087  
117.55857124567927    12.87031099146333   
140.97931045184924    9.228492416002537   
170.66549504777652    5.382805869632543   
328.5198030749177     0.22969191236578979 
499.6159262578415     0.009689500062613703
