Table 1a: Phase functions used for Titan aerosols above 80 km
Angle(deg)     355nm          430nm          490.9nm        599.9nm        713.1nm        822.4nm        934.8nm        1078nm         1288nm         1583nm         2000nm         2200nm         2800nm         3200nm         3463nm         3668nm         3948nm         5166nm         
175            0.2437         0.2120         0.2472         0.2040         0.1878         0.1717         0.1539         0.1549         0.1583         0.1651         0.1766         0.1825         0.2011         0.2142         0.2228         0.2228         0.2389         0.2805         
176            0.2444         0.2145         0.2476         0.2053         0.1901         0.1749         0.1582         0.1582         0.1605         0.1664         0.1773         0.1831         0.2014         0.2145         0.2231         0.2231         0.2391         0.2807         
177            0.2512         0.2265         0.2480         0.2066         0.1926         0.1786         0.1632         0.1616         0.1626         0.1675         0.1778         0.1835         0.2017         0.2147         0.2232         0.2232         0.2393         0.2809         
178            0.2869         0.2616         0.2482         0.2079         0.1950         0.1823         0.1682         0.1648         0.1643         0.1684         0.1783         0.1838         0.2019         0.2148         0.2234         0.2234         0.2394         0.2810         
179            0.3714         0.3166         0.2484         0.2088         0.1968         0.1850         0.1719         0.1670         0.1655         0.1690         0.1785         0.1840         0.2020         0.2149         0.2235         0.2235         0.2395         0.2811         
180            0.4279         0.3464         0.2484         0.2092         0.1975         0.1860         0.1732         0.1678         0.1659         0.1692         0.1786         0.1841         0.2020         0.2149         0.2235         0.2235         0.2395         0.2811         

Table 1b: Phase functions used for Titan aerosols below 80 km
Angle(deg)     355nm          430nm          490.9nm        599.9nm        713.1nm        822.4nm        934.8nm        1078nm         1288nm         1583nm         2000nm         2200nm         2800nm         3200nm         3463nm         3668nm         3948nm         5166nm    
0              899.5808       673.2968       412.2874       362.8121       277.5320       224.0309       186.4412       146.4880       108.4211       76.7034        53.1173        45.4511        30.8280        24.9710        22.0827        22.0827        18.0617        12.1182        
1              665.2790       546.0701       350.5672       325.1152       256.3448       211.1238       178.0795       141.5162       105.8207       75.4750        52.5793        45.0690        30.6658        24.8695        22.0055        22.0055        18.0125        12.0981        
2              326.6263       319.9196       227.9134       239.9471       204.7815       178.0123       155.8550       127.9037       98.5066        71.9446        51.0082        43.9480        30.1862        24.5682        21.7761        21.7761        17.8658        12.0382        
3              156.5202       169.6258       131.1647       156.6762       147.1418       137.2545       126.6165       108.9473       87.7740        66.5411        48.5272        42.1614        29.4087        24.0767        21.4007        21.4007        17.6250        11.9391        
4              86.3415        96.3033        77.0671        99.1292        100.4876       100.0514       97.4705        88.5079        75.3111        59.8721        45.3214        39.8215        28.3648        23.4105        20.8896        20.8896        17.2949        11.8022        
5              53.9141        60.4169        48.8202        64.7449        68.6069        71.5175        72.9016        69.6420        62.7235        52.5995        41.6127        37.0663        27.0948        22.5898        20.2561        20.2561        16.8825        11.6293        
6              36.6781        41.0960        33.2609        44.5441        48.1975        51.5840        54.2413        53.9597        51.1895        45.3226        37.6316        34.0449        25.6454        21.6386        19.5165        19.5165        16.3962        11.4223        
7              26.4883        29.6559        23.9974        32.2049        35.1382        38.1082        40.8200        41.7715        41.3371        38.4984        33.5919        30.9028        24.0664        20.5833        18.6887        18.6887        15.8453        11.1840        
8              19.9856        22.3547        18.0694        24.2625        26.5426        28.9556        31.3287        32.6353        33.3181        32.4092        29.6714        27.7697        22.4074        19.4514        17.7919        17.7919        15.2402        10.9172        
9              15.5926        17.4224        14.7996        18.3412        20.0314        22.1375        24.5747        25.8699        26.9809        27.1750        26.0015        24.7513        20.7155        18.2703        16.8455        16.8455        14.5918        10.6249        
10             12.4912        13.9404        13.0651        14.5020        15.8639        17.4068        19.6866        20.8440        22.0423        22.7931        22.6653        21.9249        19.0327        17.0658        15.8684        15.8684        13.9110        10.3104        
15             5.3408         5.9131         8.0617         7.4132         7.5937         7.8977         8.2534         8.7771         9.4529         10.2855        11.3628        11.6138        11.7312        11.4026        11.0802        11.0802        10.3716        8.5254         
20             2.9424         3.2216         4.9673         4.4139         4.3610         4.3789         4.4106         4.6858         5.0451         5.5135         6.2354         6.4939         7.0736         7.2714         7.3217         7.3217         7.2743         6.6736         
30             1.2970         1.3768         2.1146         1.8570         1.8110         1.7943         1.7810         1.8865         2.0260         2.2102         2.5045         2.6201         2.9516         3.1543         3.2758         3.2758         3.4682         3.7393         
40             0.7476         0.7627         1.0695         0.9414         0.9204         0.9144         0.9102         0.9599         1.0270         1.1171         1.2632         1.3208         1.4889         1.5982         1.6688         1.6688         1.7953         2.0705         
50             0.5039         0.4918         0.6247         0.5495         0.5368         0.5329         0.5300         0.5556         0.5913         0.6406         0.7222         0.7545         0.8493         0.9114         0.9519         0.9519         1.0263         1.2077         
60             0.3779         0.3532         0.4096         0.3582         0.3477         0.3428         0.3384         0.3520         0.3721         0.4009         0.4503         0.4700         0.5279         0.5661         0.5911         0.5911         0.6372         0.7529         
70             0.3073         0.2764         0.2958         0.2564         0.2463         0.2403         0.2343         0.2416         0.2533         0.2712         0.3032         0.3160         0.3541         0.3794         0.3960         0.3960         0.4266         0.5042         
80             0.2665         0.2326         0.2323         0.1996         0.1898         0.1832         0.1764         0.1801         0.1872         0.1991         0.2215         0.2306         0.2577         0.2758         0.2878         0.2878         0.3098         0.3658         
90             0.2433         0.2082         0.1966         0.1679         0.1586         0.1518         0.1448         0.1467         0.1513         0.1599         0.1771         0.1841         0.2052         0.2195         0.2289         0.2289         0.2462         0.2906         
100            0.2312         0.1959         0.1780         0.1515         0.1462         0.1389         0.1320         0.1329         0.1363         0.1432         0.1549         0.1608         0.1790         0.1913         0.1994         0.1994         0.2144         0.2529         
110            0.2265         0.1914         0.1710         0.1454         0.1461         0.1381         0.1312         0.1317         0.1345         0.1407         0.1462         0.1517         0.1687         0.1802         0.1878         0.1878         0.2019         0.2381         
120            0.2264         0.1917         0.1728         0.1466         0.1559         0.1473         0.1399         0.1403         0.1430         0.1490         0.1457         0.1511         0.1679         0.1794         0.1869         0.1869         0.2010         0.2369         
130            0.2291         0.1950         0.1816         0.1534         0.1752         0.1665         0.1581         0.1586         0.1613         0.1674         0.1496         0.1552         0.1724         0.1842         0.1920         0.1920         0.2064         0.2433         
140            0.2330         0.1995         0.1958         0.1643         0.2042         0.1981         0.1882         0.1888         0.1916         0.1981         0.1556         0.1614         0.1793         0.1916         0.1997         0.1997         0.2147         0.2531         
150            0.2372         0.2043         0.2132         0.1774         0.2429         0.2459         0.2345         0.2354         0.2384         0.2450         0.1618         0.1679         0.1866         0.1994         0.2078         0.2078         0.2235         0.2636         
