Extracted from Fig. 4 in Lavvas et al. (2010). Rv line.
Altitude(km)           Radius(nm)
0                      834.9702815979325  
133.57400722021657     820.0458216436282  
238.26714801444064     820.0458216436282  
274.3682310469313      722.7828395341556  
308.66425992779784     503.90639441432876 
359.20577617328524     200.85010479460098 
409.74729241877264     81.51305196496317  
467.5090252707581      33.08127544886096  
518.0505415162456      17.282155609435883 
648.014440433213       7.815385263295006  
750.9025270758123      4.30987576937429   
835.7400722021662      3.171797723205856  
895.3068592057763      3.059424122907347  
1010.8303249097473     3.0047392391313874 
1122.7436823104695     3.0047392391313874 
